req_id,input_length,decode_length,arrival_time,to_server_time,finish_time,server_latency,total_latency,ttft,queue_time,success,error,worker_url,gpu_id
req_73,674,66,0.02030038833618164,0.020303726196289062,1.4917817115783691,1.47147798538208,1.4714813232421875,0.62261962890625,3.337860107421875e-06,True,,,
req_47,522,67,0.013489007949829102,0.013490676879882812,1.5101311206817627,1.4966404438018799,1.4966421127319336,0.44505858421325684,1.6689300537109375e-06,True,,,
req_49,351,67,0.014014959335327148,0.014018058776855469,1.5125806331634521,1.4985625743865967,1.498565673828125,0.6295187473297119,3.0994415283203125e-06,True,,,
req_19,405,68,0.0054531097412109375,0.00545501708984375,1.5230045318603516,1.5175495147705078,1.5175514221191406,0.39664149284362793,1.9073486328125e-06,True,,,
req_72,259,69,0.020009279251098633,0.020010709762573242,1.5334699153900146,1.5134592056274414,1.513460636138916,0.6291615962982178,1.430511474609375e-06,True,,,
req_13,365,69,0.00403141975402832,0.00403285026550293,1.5355072021484375,1.5314743518829346,1.5314757823944092,0.27132439613342285,1.430511474609375e-06,True,,,
req_30,567,69,0.009206295013427734,0.009207963943481445,1.5516393184661865,1.542431354522705,1.5424330234527588,0.392716646194458,1.6689300537109375e-06,True,,,
req_38,606,72,0.011191129684448242,0.011193990707397461,1.6405818462371826,1.6293878555297852,1.6293907165527344,0.3906404972076416,2.86102294921875e-06,True,,,
req_34,750,74,0.010248184204101562,0.010250091552734375,1.6750545501708984,1.664804458618164,1.6648063659667969,0.39122605323791504,1.9073486328125e-06,True,,,
req_81,575,75,0.02227163314819336,0.022274494171142578,1.6932897567749023,1.6710152626037598,1.671018123626709,0.6193993091583252,2.86102294921875e-06,True,,,
req_67,667,78,0.018828392028808594,0.018829822540283203,1.735325813293457,1.7164959907531738,1.7164974212646484,0.6317927837371826,1.430511474609375e-06,True,,,
req_33,742,79,0.009941816329956055,0.009943008422851562,1.780195951461792,1.7702529430389404,1.770254135131836,0.6340041160583496,1.1920928955078125e-06,True,,,
req_87,582,85,0.023792266845703125,0.023793697357177734,1.8827128410339355,1.8589191436767578,1.8589205741882324,0.6202142238616943,1.430511474609375e-06,True,,,
req_97,475,88,0.026175975799560547,0.026177406311035156,1.8998081684112549,1.8736307621002197,1.8736321926116943,0.6231136322021484,1.430511474609375e-06,True,,,
req_95,509,87,0.025709152221679688,0.025710582733154297,1.9066345691680908,1.8809239864349365,1.8809254169464111,0.6174156665802002,1.430511474609375e-06,True,,,
req_0,448,88,0.0,1.049041748046875e-05,1.9070460796356201,1.9070355892181396,1.9070460796356201,0.20808935165405273,1.049041748046875e-05,True,,,
req_16,412,87,0.004745006561279297,0.004746675491333008,1.908820390701294,1.904073715209961,1.9040753841400146,0.3972177505493164,1.6689300537109375e-06,True,,,
req_96,524,92,0.025948762893676758,0.025950193405151367,2.0073740482330322,1.9814238548278809,1.9814252853393555,0.6243250370025635,1.430511474609375e-06,True,,,
req_78,440,92,0.021507740020751953,0.02150893211364746,2.0279700756073,2.0064611434936523,2.006462335586548,0.3801262378692627,1.1920928955078125e-06,True,,,
req_10,267,92,0.0032281875610351562,0.003229856491088867,2.0284013748168945,2.0251715183258057,2.0251731872558594,0.3988199234008789,1.6689300537109375e-06,True,,,
req_32,289,93,0.009689092636108398,0.00969076156616211,2.033531427383423,2.0238406658172607,2.0238423347473145,0.3919675350189209,1.6689300537109375e-06,True,,,
req_46,416,94,0.013177871704101562,0.013179540634155273,2.0373053550720215,2.024125814437866,2.02412748336792,0.44439125061035156,1.6689300537109375e-06,True,,,
req_89,498,94,0.02425384521484375,0.02425551414489746,2.0397160053253174,2.01546049118042,2.0154621601104736,0.6260709762573242,1.6689300537109375e-06,True,,,
req_94,651,94,0.02547907829284668,0.02548050880432129,2.0653584003448486,2.0398778915405273,2.039879322052002,0.6173422336578369,1.430511474609375e-06,True,,,
req_71,358,94,0.019776344299316406,0.019777774810791016,2.0669353008270264,2.0471575260162354,2.04715895652771,0.6243431568145752,1.430511474609375e-06,True,,,
req_66,328,95,0.018550872802734375,0.01855301856994629,2.131199359893799,2.1126463413238525,2.1126484870910645,0.6243209838867188,2.1457672119140625e-06,True,,,
req_8,564,96,0.0027408599853515625,0.0027430057525634766,2.1436727046966553,2.140929698944092,2.1409318447113037,0.2887256145477295,2.1457672119140625e-06,True,,,
req_69,761,101,0.019302845001220703,0.019304275512695312,2.209425210952759,2.1901209354400635,2.190122365951538,0.6312265396118164,1.430511474609375e-06,True,,,
req_39,481,104,0.011421680450439453,0.011423349380493164,2.250566244125366,2.239142894744873,2.2391445636749268,0.44638681411743164,1.6689300537109375e-06,True,,,
req_28,559,105,0.008678674697875977,0.00868082046508789,2.2675559520721436,2.2588751316070557,2.2588772773742676,0.6418960094451904,2.1457672119140625e-06,True,,,
req_21,327,102,0.006059885025024414,0.0060617923736572266,2.2735347747802734,2.267472982406616,2.267474889755249,0.39588260650634766,1.9073486328125e-06,True,,,
req_70,651,102,0.01953887939453125,0.01954030990600586,2.27394962310791,2.2544093132019043,2.254410743713379,0.6236798763275146,1.430511474609375e-06,True,,,
req_42,274,105,0.012229204177856445,0.012230873107910156,2.333897113800049,2.3216662406921387,2.3216679096221924,0.6319911479949951,1.6689300537109375e-06,True,,,
req_36,412,108,0.010718584060668945,0.010721445083618164,2.37422513961792,2.3635036945343018,2.363506555557251,0.3911397457122803,2.86102294921875e-06,True,,,
req_68,294,109,0.01906752586364746,0.01906895637512207,2.3884077072143555,2.3693387508392334,2.369340181350708,0.6235547065734863,1.430511474609375e-06,True,,,
