timestamp,worker_url,request_id,throughput_gradient,latency_gradient,score,outstanding_requests,avg_throughput,avg_latency,window_size,selection_reason,actual_output_tokens,server_latency,queue_time,ttft,decision_time_ms
2025-07-31 05:38:03.925,http://localhost:30002,pending,,,,0,,,20,gradient_based,,,,,0.005069
2025-07-31 05:38:04.186,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.005285000000000001
2025-07-31 05:38:04.450,http://localhost:30002,pending,,,,0,,,20,gradient_based,,,,,0.0026460000000000003
2025-07-31 05:38:04.487,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.002065
2025-07-31 05:38:04.551,http://localhost:30002,pending,,,,0,,,20,gradient_based,,,,,0.0014089999999999999
2025-07-31 05:38:04.807,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.001872
2025-07-31 05:38:04.936,http://localhost:30002,pending,,,,0,,,20,gradient_based,,,,,0.001861
2025-07-31 05:38:05.597,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.004238
2025-07-31 05:38:05.625,http://localhost:30003,unknown,,,,0,355.83,1.4389,20,completion_record,512,1.4389,0.0005,0.1560,0
2025-07-31 05:38:05.710,http://localhost:30003,unknown,,,,0,354.95,1.2227,20,completion_record,434,1.2227,0.0001,0.1503,0
2025-07-31 05:38:05.990,http://localhost:30003,unknown,,,,0,359.01,1.1838,20,completion_record,425,1.1838,0.0001,0.1541,0
2025-07-31 05:38:06.018,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.005192
2025-07-31 05:38:06.046,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.003382
2025-07-31 05:38:06.163,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.003013
2025-07-31 05:38:06.461,http://localhost:30002,pending,,,,0,,,20,gradient_based,,,,,0.001849
2025-07-31 05:38:06.524,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.001998
2025-07-31 05:38:06.572,http://localhost:30002,unknown,,,,0,145.44,2.6471,20,completion_record,385,2.6471,0.0004,0.3397,0
