req_id,input_length,decode_length,arrival_time,to_server_time,finish_time,server_latency,total_latency,ttft,queue_time,success,error
req_73,674,66,0.0275115966796875,0.02751326560974121,1.4868032932281494,1.4592900276184082,1.459291696548462,0.6156613826751709,1.6689300537109375e-06,True,
req_49,351,67,0.02037811279296875,0.020380020141601562,1.4968013763427734,1.4764213562011719,1.4764232635498047,0.6305158138275146,1.9073486328125e-06,True,
req_47,522,67,0.0197603702545166,0.019764184951782227,1.5030782222747803,1.483314037322998,1.4833178520202637,0.29879117012023926,3.814697265625e-06,True,
req_19,405,68,0.008672237396240234,0.00867462158203125,1.5115489959716797,1.5028743743896484,1.5028767585754395,0.6416997909545898,2.384185791015625e-06,True,
req_13,365,69,0.006435394287109375,0.006438016891479492,1.5239791870117188,1.5175411701202393,1.5175437927246094,0.6440353393554688,2.6226043701171875e-06,True,
req_30,567,69,0.013833999633789062,0.013836145401000977,1.5253410339355469,1.511504888534546,1.5115070343017578,0.2683370113372803,2.1457672119140625e-06,True,
req_72,259,69,0.02721095085144043,0.027213096618652344,1.5433032512664795,1.5160901546478271,1.516092300415039,0.5078346729278564,2.1457672119140625e-06,True,
req_34,750,74,0.015294075012207031,0.015295982360839844,1.6373190879821777,1.622023105621338,1.6220250129699707,0.4463069438934326,1.9073486328125e-06,True,
req_38,606,72,0.01671290397644043,0.01671576499938965,1.6419703960418701,1.6252546310424805,1.6252574920654297,0.516942024230957,2.86102294921875e-06,True,
req_81,575,75,0.029757976531982422,0.02975940704345703,1.658900499343872,1.629141092300415,1.6291425228118896,0.620760440826416,1.430511474609375e-06,True,
req_67,667,78,0.025768041610717773,0.025769710540771484,1.7451369762420654,1.719367265701294,1.7193689346313477,0.6255249977111816,1.6689300537109375e-06,True,
req_33,742,79,0.014940023422241211,0.014941930770874023,1.7558379173278809,1.7408959865570068,1.7408978939056396,0.4462423324584961,1.9073486328125e-06,True,
req_87,582,85,0.03135561943054199,0.0313570499420166,1.8645098209381104,1.8331527709960938,1.8331542015075684,0.61098313331604,1.430511474609375e-06,True,
req_16,412,87,0.0075626373291015625,0.0075647830963134766,1.886059284210205,1.8784945011138916,1.8784966468811035,0.453763484954834,2.1457672119140625e-06,True,
req_0,448,88,0.0,1.1444091796875e-05,1.8877110481262207,1.8876996040344238,1.8877110481262207,0.21723628044128418,1.1444091796875e-05,True,
req_95,509,87,0.03343367576599121,0.03343510627746582,1.888230562210083,1.8547954559326172,1.8547968864440918,0.42821216583251953,1.430511474609375e-06,True,
req_97,475,88,0.033927202224731445,0.033928632736206055,1.9052841663360596,1.8713555335998535,1.8713569641113281,0.6167387962341309,1.430511474609375e-06,True,
req_10,267,92,0.005187511444091797,0.005190134048461914,2.009441614151001,2.004251480102539,2.004254102706909,0.276843786239624,2.6226043701171875e-06,True,
req_96,524,92,0.03368091583251953,0.03368234634399414,2.0132992267608643,1.9796168804168701,1.9796183109283447,0.6096560955047607,1.430511474609375e-06,True,
req_78,440,92,0.028899192810058594,0.028900623321533203,2.0138978958129883,1.984997272491455,1.9849987030029297,0.5058994293212891,1.430511474609375e-06,True,
req_32,289,93,0.014520883560180664,0.014522552490234375,2.0216574668884277,2.0071349143981934,2.007136583328247,0.44671082496643066,1.6689300537109375e-06,True,
req_71,358,94,0.02685093879699707,0.02685260772705078,2.0346148014068604,2.0077621936798096,2.0077638626098633,0.6225671768188477,1.6689300537109375e-06,True,
req_94,651,94,0.0331881046295166,0.03318977355957031,2.0351402759552,2.00195050239563,2.0019521713256836,0.6170177459716797,1.6689300537109375e-06,True,
req_46,416,94,0.019440412521362305,0.01944279670715332,2.0420243740081787,2.0225815773010254,2.0225839614868164,0.4420742988586426,2.384185791015625e-06,True,
req_89,498,94,0.031853675842285156,0.031855106353759766,2.0475072860717773,2.0156521797180176,2.015653610229492,0.6114363670349121,1.430511474609375e-06,True,
req_66,328,95,0.025482177734375,0.025484085083007812,2.0478715896606445,2.0223875045776367,2.0223894119262695,0.20285415649414062,1.9073486328125e-06,True,
req_8,564,96,0.004375934600830078,0.004378318786621094,2.0875978469848633,2.083219528198242,2.083221912384033,0.31415271759033203,2.384185791015625e-06,True,
req_69,761,101,0.02631211280822754,0.02631378173828125,2.223576068878174,2.1972622871398926,2.1972639560699463,0.5090470314025879,1.6689300537109375e-06,True,
req_42,274,105,0.01815485954284668,0.018157005310058594,2.2329702377319336,2.214813232421875,2.214815378189087,0.44234728813171387,2.1457672119140625e-06,True,
req_28,559,105,0.013135910034179688,0.013138294219970703,2.2334165573120117,2.220278263092041,2.220280647277832,0.44741106033325195,2.384185791015625e-06,True,
req_21,327,102,0.009477615356445312,0.00948023796081543,2.2389214038848877,2.2294411659240723,2.2294437885284424,0.3091459274291992,2.6226043701171875e-06,True,
req_70,651,102,0.026584148406982422,0.026585817337036133,2.2393813133239746,2.2127954959869385,2.212797164916992,0.6168429851531982,1.6689300537109375e-06,True,
req_39,481,104,0.017078876495361328,0.01708078384399414,2.2610695362091064,2.2439887523651123,2.243990659713745,0.5175018310546875,1.9073486328125e-06,True,
req_36,412,108,0.015933513641357422,0.015935182571411133,2.3700368404388428,2.3541016578674316,2.3541033267974854,0.5189576148986816,1.6689300537109375e-06,True,
req_99,311,109,0.03448939323425293,0.03449082374572754,2.382460594177246,2.3479697704315186,2.347971200942993,0.6077184677124023,1.430511474609375e-06,True,
req_55,728,109,0.02221512794494629,0.0222170352935791,2.384235382080078,2.362018346786499,2.362020254135132,0.5130095481872559,1.9073486328125e-06,True,
req_68,294,109,0.02604222297668457,0.02604365348815918,2.384662389755249,2.35861873626709,2.3586201667785645,0.5093610286712646,1.430511474609375e-06,True,
req_76,651,113,0.028364896774291992,0.028366565704345703,2.4552719593048096,2.426905393600464,2.4269070625305176,0.6150178909301758,1.6689300537109375e-06,True,
req_57,356,115,0.022775650024414062,0.022777318954467773,2.474560260772705,2.4517829418182373,2.451784610748291,0.6281628608703613,1.6689300537109375e-06,True,
req_82,425,117,0.03002190589904785,0.030023813247680664,2.5124030113220215,2.482379198074341,2.4823811054229736,0.4313957691192627,1.9073486328125e-06,True,
req_63,439,117,0.024564504623413086,0.024565935134887695,2.539118766784668,2.5145528316497803,2.514554262161255,0.5101370811462402,1.430511474609375e-06,True,
