timestamp,worker_url,request_id,throughput_gradient,latency_gradient,score,outstanding_requests,avg_throughput,avg_latency,window_size,selection_reason,actual_output_tokens,server_latency,queue_time,ttft,decision_time_ms
2025-07-31 05:33:07.294,http://localhost:30002,pending,,,,0,,,20,gradient_based,,,,,0.004262
2025-07-31 05:33:07.314,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.003342
2025-07-31 05:33:07.534,http://localhost:30002,pending,,,,0,,,20,gradient_based,,,,,0.00208
2025-07-31 05:33:07.564,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.001932
2025-07-31 05:33:07.638,http://localhost:30002,pending,,,,0,,,20,gradient_based,,,,,0.0017430000000000002
2025-07-31 05:33:07.669,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.0016220000000000002
2025-07-31 05:33:07.672,http://localhost:30003,unknown,,,,0,332.51,0.3579,20,completion_record,119,0.3579,0.0006,0.1603,0
2025-07-31 05:33:07.689,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.0018419999999999999
2025-07-31 05:33:07.814,http://localhost:30002,pending,,,,0,,,20,gradient_based,,,,,0.002154
2025-07-31 05:33:07.829,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.002216
2025-07-31 05:33:07.898,http://localhost:30003,unknown,,,,0,302.85,0.3335,20,completion_record,101,0.3335,0.0001,0.1815,0
2025-07-31 05:33:07.932,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.002239
2025-07-31 05:33:07.986,http://localhost:30002,pending,,,,0,,,20,gradient_based,,,,,0.002408
2025-07-31 05:33:08.001,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.0012300000000000002
2025-07-31 05:33:08.028,http://localhost:30003,unknown,,,,0,297.64,0.3595,20,completion_record,107,0.3595,0.0001,0.1614,0
2025-07-31 05:33:08.040,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.001795
2025-07-31 05:33:08.053,http://localhost:30002,pending,,,,0,,,20,gradient_based,,,,,0.002641
2025-07-31 05:33:08.100,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.002392
2025-07-31 05:33:08.108,http://localhost:30002,pending,,,,0,,,20,gradient_based,,,,,0.002214
2025-07-31 05:33:08.130,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.00237
2025-07-31 05:33:08.146,http://localhost:30002,pending,,,,0,,,20,gradient_based,,,,,0.002657
2025-07-31 05:33:08.185,http://localhost:30003,unknown,,,,0,292.67,0.4954,20,completion_record,145,0.4954,0.0001,0.1699,0
2025-07-31 05:33:08.220,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.002262
2025-07-31 05:33:08.248,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.002683
2025-07-31 05:33:08.279,http://localhost:30002,pending,,,,0,,,20,gradient_based,,,,,0.002692
2025-07-31 05:33:08.311,http://localhost:30002,unknown,,,,0,132.70,1.0023,20,completion_record,133,1.0023,0.0006,0.3688,0
2025-07-31 05:33:08.328,http://localhost:30002,pending,,,,0,,,20,gradient_based,,,,,0.0019199999999999998
2025-07-31 05:33:08.340,http://localhost:30003,unknown,,,,0,274.47,0.4081,20,completion_record,112,0.4081,0.0001,0.1875,0
2025-07-31 05:33:08.348,http://localhost:30003,unknown,,,,0,276.02,0.3080,20,completion_record,85,0.3080,0.0001,0.1819,0
2025-07-31 05:33:08.373,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.0038480000000000003
2025-07-31 05:33:08.410,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.003405
2025-07-31 05:33:08.430,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.003066
2025-07-31 05:33:08.457,http://localhost:30003,unknown,,,,0,263.14,0.3572,20,completion_record,94,0.3572,0.0001,0.1981,0
2025-07-31 05:33:08.481,http://localhost:30003,unknown,,,,0,278.92,0.6525,20,completion_record,182,0.6525,0.0001,0.1679,0
2025-07-31 05:33:08.515,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.003439
2025-07-31 05:33:08.517,http://localhost:30003,unknown,,,,0,275.47,0.5155,20,completion_record,142,0.5155,0.0001,0.1929,0
2025-07-31 05:33:08.534,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.00497
2025-07-31 05:33:08.535,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.004846
2025-07-31 05:33:08.568,http://localhost:30003,unknown,,,,0,271.38,0.3206,20,completion_record,87,0.3206,0.0001,0.1645,0
2025-07-31 05:33:08.579,http://localhost:30002,unknown,,,,0,128.25,0.7641,20,completion_record,98,0.7641,0.0001,0.3984,0
2025-07-31 05:33:08.598,http://localhost:30003,unknown,,,,0,271.26,0.4682,20,completion_record,127,0.4682,0.0001,0.1899,0
2025-07-31 05:33:08.646,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.006185
2025-07-31 05:33:08.649,http://localhost:30002,unknown,,,,0,126.72,0.6629,20,completion_record,84,0.6629,0.0001,0.4184,0
2025-07-31 05:33:08.688,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.0052179999999999995
2025-07-31 05:33:08.743,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.005617
2025-07-31 05:33:08.762,http://localhost:30003,unknown,,,,0,259.81,0.3887,20,completion_record,101,0.3887,0.0001,0.2056,0
2025-07-31 05:33:08.762,http://localhost:30003,unknown,,,,0,271.04,0.3321,20,completion_record,90,0.3321,0.0001,0.1783,0
2025-07-31 05:33:08.790,http://localhost:30003,unknown,,,,0,279.33,0.2542,20,completion_record,71,0.2542,0.0002,0.1825,0
2025-07-31 05:33:08.823,http://localhost:30002,unknown,,,,0,133.44,1.2889,20,completion_record,172,1.2889,0.0001,0.3683,0
2025-07-31 05:33:08.842,http://localhost:30003,unknown,,,,0,279.89,0.6217,20,completion_record,174,0.6217,0.0002,0.1815,0
2025-07-31 05:33:08.843,http://localhost:30002,unknown,,,,0,133.22,0.7356,20,completion_record,98,0.7356,0.0001,0.3979,0
2025-07-31 05:33:08.890,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.00641
2025-07-31 05:33:08.911,http://localhost:30002,unknown,,,,0,134.30,1.2733,20,completion_record,171,1.2733,0.0001,0.3684,0
2025-07-31 05:33:08.928,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.007418
2025-07-31 05:33:08.975,http://localhost:30003,unknown,,,,0,288.87,0.3289,20,completion_record,95,0.3289,0.0001,0.1785,0
2025-07-31 05:33:08.994,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.008167
2025-07-31 05:33:09.017,http://localhost:30003,unknown,,,,0,281.63,0.6072,20,completion_record,171,0.6072,0.0001,0.1929,0
2025-07-31 05:33:09.078,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.007170999999999999
2025-07-31 05:33:09.080,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.0069689999999999995
2025-07-31 05:33:09.101,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.006848
2025-07-31 05:33:09.115,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.007645000000000001
2025-07-31 05:33:09.145,http://localhost:30003,unknown,,,,0,266.73,0.6299,20,completion_record,168,0.6299,0.0001,0.1974,0
2025-07-31 05:33:09.153,http://localhost:30003,unknown,,,,0,266.73,0.4649,20,completion_record,124,0.4649,0.0001,0.1692,0
2025-07-31 05:33:09.184,http://localhost:30003,unknown,,,,0,275.47,0.6498,20,completion_record,179,0.6498,0.0002,0.1837,0
2025-07-31 05:33:09.187,http://localhost:30003,unknown,,,,0,270.75,0.4432,20,completion_record,120,0.4432,0.0001,0.1625,0
2025-07-31 05:33:09.212,http://localhost:30002,unknown,,,,0,136.41,1.1582,20,completion_record,158,1.1582,0.0001,0.4088,0
2025-07-31 05:33:09.267,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.010182
2025-07-31 05:33:09.323,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.007173
2025-07-31 05:33:09.363,http://localhost:30002,unknown,,,,0,139.71,1.2168,20,completion_record,170,1.2168,0.0001,0.3884,0
2025-07-31 05:33:09.378,http://localhost:30003,unknown,,,,0,256.73,0.2999,20,completion_record,77,0.2999,0.0001,0.2112,0
2025-07-31 05:33:09.399,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.008662
2025-07-31 05:33:09.416,http://localhost:30002,unknown,,,,0,142.47,1.0879,20,completion_record,155,1.0879,0.0001,0.3685,0
2025-07-31 05:33:09.442,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.006432
2025-07-31 05:33:09.449,http://localhost:30002,unknown,,,,0,141.06,1.1698,20,completion_record,165,1.1698,0.0001,0.3821,0
2025-07-31 05:33:09.462,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.007749
2025-07-31 05:33:09.463,http://localhost:30003,unknown,,,,0,262.18,0.4691,20,completion_record,123,0.4691,0.0001,0.2108,0
2025-07-31 05:33:09.471,http://localhost:30002,pending,,,,0,,,20,gradient_based,,,,,0.008599
2025-07-31 05:33:09.486,http://localhost:30003,unknown,,,,0,267.38,0.3852,20,completion_record,103,0.3852,0.0003,0.1878,0
2025-07-31 05:33:09.495,http://localhost:30003,unknown,,,,0,262.66,0.6053,20,completion_record,159,0.6053,0.0001,0.1786,0
2025-07-31 05:33:09.546,http://localhost:30002,pending,,,,0,,,20,gradient_based,,,,,0.009065
2025-07-31 05:33:09.581,http://localhost:30002,pending,,,,0,,,20,gradient_based,,,,,0.007793
2025-07-31 05:33:09.583,http://localhost:30003,unknown,,,,0,284.98,0.2597,20,completion_record,74,0.2597,0.0001,0.1919,0
2025-07-31 05:33:09.607,http://localhost:30003,unknown,,,,0,279.55,0.6797,20,completion_record,190,0.6797,0.0001,0.2216,0
2025-07-31 05:33:09.645,http://localhost:30003,unknown,,,,0,282.88,0.5656,20,completion_record,160,0.5656,0.0003,0.2090,0
2025-07-31 05:33:09.652,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.010740000000000001
2025-07-31 05:33:09.658,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.006973999999999999
2025-07-31 05:33:09.659,http://localhost:30003,pending,,,,0,,,20,gradient_based,,,,,0.007815
2025-07-31 05:33:09.708,http://localhost:30003,unknown,,,,0,285.08,0.2666,20,completion_record,76,0.2666,0.0001,0.1677,0
2025-07-31 05:33:09.716,http://localhost:30003,unknown,,,,0,292.80,0.6011,20,completion_record,176,0.6011,0.0002,0.1734,0
2025-07-31 05:33:09.734,http://localhost:30002,pending,,,,0,,,20,gradient_based,,,,,0.008605
2025-07-31 05:33:09.806,http://localhost:30003,unknown,,,,0,301.97,0.4073,20,completion_record,123,0.4073,0.0001,0.1804,0
